timestamp,source_ip,source_port,destination_ip,destination_port,dscp,tos
977979600.973,201.14.184.36,80,180.195.89.92,41224,0,0
977979600.974,206.133.253.40,61710,200.13.134.202,4714,0,0
977979600.974,201.14.184.36,80,180.195.89.92,41224,0,0
977979600.974,176.97.154.167,4178,202.76.120.33,6346,0,0
977979600.976,180.195.89.92,41223,208.28.2.46,80,0,0
977979600.977,83.27.121.213,2201,176.97.154.167,6346,0,0
977979600.977,149.75.65.77,1044,200.157.16.157,80,0,0
977979600.977,207.62.157.58,53,104.94.108.245,53,0,0
977979600.979,206.133.253.40,61710,200.13.134.202,4714,0,0
977979600.979,107.199.147.110,10726,170.117.97.178,6970,0,0
977979600.98,71.241.245.22,80,149.75.106.51,1201,0,0
977979600.98,213.14.3.103,61324,144.222.83.240,41275,0,0
977979600.981,180.195.89.92,41224,201.14.184.36,80,0,0
977979600.982,71.242.103.56,8080,149.75.106.51,3997,0,0
977979600.982,209.135.177.34,80,149.67.64.237,1674,0,0
977979600.982,209.135.177.34,80,149.67.64.237,1674,0,0
977979600.982,195.163.72.177,6346,176.97.154.167,3913,0,0
977979600.984,83.26.70.121,1330,176.97.154.167,6346,0,0
977979600.985,209.135.177.34,80,149.67.64.237,1674,0,0
977979600.985,209.135.177.34,80,149.67.64.237,1674,0,0
977979600.986,176.97.154.167,3913,195.163.72.177,6346,0,0
977979600.987,170.117.110.161,80,107.139.217.67,1202,0,0
977979600.987,176.97.154.167,6346,83.26.70.121,1330,0,0
977979600.987,219.85.154.223,1071,180.195.6.95,6970,0,0
977979600.988,83.177.253.19,6346,176.97.154.167,1223,0,0
977979600.988,170.117.142.248,4043,212.66.228.62,80,0,0
977979600.99,202.103.180.31,21056,176.97.154.167,6346,0,0
977979600.991,200.35.254.91,63086,144.222.106.192,25,0,0
977979600.992,176.97.154.167,1223,83.177.253.19,6346,0,0
977979600.992,149.75.106.51,1201,71.241.245.22,80,0,0
977979600.993,208.64.6.53,80,149.75.177.129,8317,0,0
977979600.993,176.97.154.167,6346,202.103.180.31,21056,0,0
977979600.994,209.135.177.34,80,149.67.64.237,1676,0,0
977979600.994,209.135.177.34,80,149.67.64.237,1676,0,0
977979600.995,207.157.172.226,1174,196.16.47.95,80,0,0
977979600.995,192.124.185.213,1755,176.122.112.231,64997,0,0
977979600.996,206.7.28.70,53,207.38.174.26,53,0,0
977979600.996,209.208.248.203,6346,176.97.154.167,3928,0,0
977979600.996,83.132.154.161,2226,176.97.154.167,6346,0,0
977979600.996,207.145.209.67,25012,168.183.48.25,6699,0,0
977979600.996,197.115.26.11,53,144.222.154.205,53,0,0
977979600.997,202.172.237.51,3128,144.222.107.36,4839,0,0
977979600.997,208.28.2.41,80,180.195.89.92,41222,0,0
977979600.998,170.117.142.248,4043,212.66.228.62,80,0,0
977979600.998,146.141.87.211,25,144.222.106.192,1686,0,0
977979600.998,196.16.47.95,80,180.195.208.57,4894,0,0
977979600.998,196.16.47.95,80,180.195.208.57,4894,0,0
977979600.999,196.16.47.95,80,180.195.208.57,4894,0,0
977979600.999,170.117.182.9,2166,83.83.139.105,6699,0,0
